Date,Source,Contact,Contact Group,Description,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
22 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Feb 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 Mar 2023,Spend Money,13 Cabs,,13 Cabs,13 cabs,Travelling,100.0,13 cabs,True,,,
02 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
04 Mar 2023,Spend Money,13 Cabs,,13 Cabs,13 cabs,Travelling,100.0,13 cabs,True,,,
04 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
06 Mar 2023,Spend Money,Cabs,,Cabs,cabs,Travelling,100.0,cabs,True,,,
11 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
11 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
11 Mar 2023,Spend Money,CMT UK Ltd,,CMT UK Ltd,cmt uk ltd,Travelling,100.0,cmt uk ltd,True,,,
13 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Mar 2023,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
17 Mar 2023,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
17 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
18 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
19 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
19 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
24 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
24 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
26 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
26 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
26 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
28 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
29 Mar 2023,Spend Money,EVCharge,,EVCharge,evcharge,Travelling,100.0,evcharge,True,,,
29 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
30 Mar 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
04 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
04 Apr 2023,Spend Money,TFL London,,TFL London,tfl london,Travelling,100.0,tfl london,True,,,
04 Apr 2023,Spend Money,RIDE COST LONDON,,RIDE COST LONDON,ride cost london,Travelling,100.0,ride cost london,True,,,
04 Apr 2023,Spend Money,RIDE COST LONDON,,RIDE COST LONDON,ride cost london,Travelling,100.0,ride cost london,True,,,
12 Apr 2023,Spend Money,RIDE COST LONDON,,RIDE COST LONDON,ride cost london,Travelling,100.0,ride cost london,True,,,
12 Apr 2023,Spend Money,AVIANCA BOGOTA,,AVIANCA BOGOTA,avianca bogota,Travelling,100.0,avianca bogota,True,,,
12 Apr 2023,Spend Money,Horizon Parking,,Horizon Parking,horizon parking,Travelling,100.0,horizon parking,True,,,
12 Apr 2023,Spend Money,RIDE COST LONDON,,RIDE COST LONDON,ride cost london,Travelling,100.0,ride cost london,True,,,
12 Apr 2023,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
13 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
13 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Apr 2023,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
14 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
14 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
23 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
25 Apr 2023,Spend Money,NYC Taxi,,NYC Taxi,nyc taxi,Travelling,100.0,nyc taxi,True,,,
25 Apr 2023,Spend Money,Citycab,,Citycab,citycab,Travelling,100.0,citycab,True,,,
26 Apr 2023,Spend Money,NYCT,,NYCT,nyct,Travelling,100.0,nyct,True,,,
28 Apr 2023,Spend Money,NYCT,,NYCT,nyct,Travelling,100.0,nyct,True,,,
28 Apr 2023,Spend Money,Guggenheim,,Guggenheim,guggenheim,Travelling,100.0,guggenheim,True,,,
28 Apr 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
01 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 May 2023,Spend Money,Uber,,Uber,uber,Travelling,100.0,uber,True,,,
03 May 2023,Spend Money,London Taxi,,London Taxi,london taxi,Travelling,100.0,london taxi,True,,,
